编码  政治  英语  数学  专业课 专业英语    专业知识
1   67  88  65  104 41  54
2   78  66  85  116 61  56
3   72  85  74  136 48  77
4   76  62  87  101 42  61
5   68  63  79  139 77  79
6   90  87  95  95  48  41
7   71  67  89  122 75  77
8   78  80  100 90  80  49
9   78  84  70  109 63  48
10  75  72  89  106 78  46
11  85  84  77  99  53  68
12  61  84  67  102 71  62
13  76  86  62  118 58  66
14  62  79  69  140 71  40
15  64  82  85  100 58  57
16  77  66  64  143 45  66
17  86  62  96  97  78  62
18  60  89  67  138 40  72
19  89  76  91  144 53  70
20  77  85  81  103 80  56
21  83  89  65  119 68  44
22  62  80  72  139 49  63
23  76  78  85  126 42  51
24  68  77  76  104 68  45
25  71  82  93  90  78  60
26  64  90  60  131 61  47
27  60  62  72  131 76  67
28  77  61  95  91  50  55
29  63  77  93  129 56  63
30  70  84  98  135 70  59
